,feature,source
1878,wait,power
1932,worship,power
1951,apologize,power
1952,assist,power
1953,behold,power
1954,browse,power
1955,chase,power
1956,collect,power
1957,comprehend,power
1958,concentrate,power
1959,cram,power
1960,delight,power
1961,desire,power
1962,elaborate,power
1963,envy,power
1964,fill,power
1965,hail,power
1966,jot,power
1967,lug,power
1968,mime,power
1969,mimic,power
1970,nods,power
1971,nuzzle,power
1972,outline,power
1973,peruse,power
1974,please,power
1975,polish,power
1976,reach,power
1977,recall,power
1978,recognize,power
1979,reflect,power
1980,reiterate,power
1981,relieve,power
1982,relishe,power
1983,repulse,power
1984,require,power
1985,touch,power
1986,underestimate,power
1987,adorn,power
1988,aggravate,power
1989,amuse,power
1990,ascend,power
1991,brief,power
1992,dread,power
1993,dwell,power
1994,eyeballs,power
1995,fancy,power
1996,follow,power
1997,hate,power
1998,imitate,power
1999,miss,power
2000,misunderstand,power
2001,radiate,power
2002,repay,power
2003,respect,power
2004,salute,power
2005,sense,power
2006,silhouette,power
2007,stalk,power
2008,struggle,power
2009,subtitle,power
2010,accompany,power
2011,brush,power
2012,chant,power
2013,implore,power
2014,lack,power
2015,massage,power
2016,regard,power
2017,repeat,power
2018,seek,power
2019,shower,power
2020,smell,power
2021,tail,power
2022,unload,power
2023,weather,power
2024,believe,power
2025,compensate,power
2026,compile,power
2027,detect,power
2028,honor,power
2029,incorporate,power
2030,indulge,power
2031,like,power
2032,mingle,power
2033,adore,power
2034,applaud,power
2035,donate,power
2036,entertain,power
2037,evade,power
2038,grieve,power
2039,join,power
2040,mention,power
2041,oblige,power
2042,represent,power
2043,congratulate,power
2044,fulfill,power
2045,obey,power
2046,quote,power
2047,satisfy,power
2048,serve,power
2049,wonder,power
2050,credit,power
2051,defer,power
2052,echo,power
2053,emit,power
2054,seat,power
2055,cites,power
2056,disappoint,power
2057,experience,power
2058,value,power
2059,wish,power
2060,consult,power
2061,dream,power
2062,endure,power
2063,enforce,power
2064,enjoy,power
2065,learn,power
2066,offend,power
2067,pursue,power
2068,admire,power
2069,answer,power
2070,commemorates,power
2071,contract,power
2072,duck,power
2073,practice,power
2074,regret,power
2075,resent,power
2076,shadow,power
2077,undertake,power
2078,achieve,power
2079,cheer,power
2080,depart,power
2081,need,power
2082,pray,power
2083,promote,power
2084,visit,power
2085,beg,power
2086,copy,power
2087,plead,power
2088,tip,power
2089,uphold,power
2090,benefit,power
2091,celebrate,power
2092,constitute,power
2093,greet,power
2094,hope,power
2095,interest,power
2096,lose,power
2097,mind,power
2098,portray,power
2099,predict,power
2100,undergo,power
2101,vote,power
2102,want,power
