PAC Words Category,feature
Violence,wound
Violence,weapon
Violence,war
Violence,violent
Violence,trouble
Violence,troop
Violence,trial
Violence,threat
Violence,tension
Violence,suspect
Violence,stab
Violence,soldier
Violence,shot
Violence,shoot
Violence,sentence
Violence,robbery
Violence,raid
Violence,radical
Violence,punch
Violence,prison
Violence,offence
Violence,military
Violence,knife
Violence,jihad
Violence,jail
Violence,injury
Violence,incident
Violence,imperialist
Violence,gun
Violence,gang
Violence,fight
Violence,explosive
Violence,enemy
Violence,dispute
Violence,die
Violence,defend
Violence,damage
Violence,cut
Violence,crime
Violence,convict
Violence,consequence
Violence,confront
Violence,conflict
Violence,charge
Violence,casualty
Violence,burglary
Violence,brawl
Violence,battle
Violence,bad
Violence,arrest
Violence,army
Violence,arm
Violence,altercation
