Words,Communality Valence
accepting,1.90
affectionate,1.76
agreeable,1.57
altruism,1.61
altruistic,1.73
attachment,0.39
belonging,1.49
benevolence,1.50
care-taking,1.57
caring,1.94
cheerful,1.90
civility,1.62
closeness,1.34
communal,0.94
communicative,2.02
compassion,2.11
compassionate,2.14
compromising,0.75
connected,1.67
connections,1.41
conscientious,1.69
considerate,2.04
consideration,1.68
cooperation,1.96
cooperative,1.90
dependable,2.06
dependency,-0.46
dependent,-0.26
duty,1.21
easygoing,1.69
enthusiastic,1.98
equality,1.92
fair,1.88
faithful,1.50
family-oriented,1.71
flexible,1.73
forgiveness,1.63
forgiving,1.78
friendliness,1.75
friendly,1.90
generous,2.20
gentle,2.04
good,1.50
good-natured,2.31
goodhearted,2.12
gracious,2.23
harmony,2.02
helpful,2.02
honest,2.06
honesty,2.10
hospitable,2.15
humble,1.65
humility,1.88
influence,1.61
interdependent,1.04
interpersonal,0.61
just,1.21
kind,2.15
love,2.13
loyal,2.45
loyalty,2.10
moral,1.96
nice,1.83
nurturance,1.86
nurturing,1.40
obliging,1.77
open-minded,0.09
optimistic,1.96
patient,2.08
pleasant,1.75
polite,1.92
politeness,1.79
popular,1.74
reasonable,1.16
reliable,1.91
respectful,2.20
self-sacrificing,2.14
selfless,0.59
sensitivity,1.65
sincere,0.74
sociable,1.96
social,1.59
supportive,1.42
sympathetic,2.17
talkative,1.73
team-player,0.14
thoughtful,1.94
tolerant,2.10
trust,1.63
trusting,2.27
trustworthy,1.48
truthful,2.29
understanding,1.87
universalism,1.98
warm,1.88
warmth,2.04
welcoming,1.92
well-mannered,1.76
wise,2.1
