Word;Communality Mean ;Communality SD;Valence Mean;Valence SD
accepting; 6,04 ; 0,06 ;1,90; 0,05 
affectionate; 6,00 ; 0,07 ;1,76; 0,05 
agreeable;5,78;01.52;1,57; 0,05 
altruism;5,92;01.30;1,61; 0,07 
altruistic;5,88;01.49;1,73; 0,07 
attachment; 5,57 ;0,083333333;0,39; 0,05 
belonging; 6,33 ;01.23;1,49; 0,04 
benevolence; 5,37 ;0,095833333;1,50; 0,07 
care-taking; 6,17 ;01.00;1,57; 0,05 
caring; 6,16 ;01.33;1,94;0,065972222
cheerful; 5,43 ;01.58;1,90;01.08
civility; 6,06 ;0,061805556;1,62;0,0625
closeness;5,92;01.41;1,34;01.26
communal;6,47;01.23;0,94;01.34
communicative;6,47;01.34;2,02;0,064583333
compassion;6,29;01.17;2,11;0,061805556
compassionate;6,23;01.21;2,14;01.10
compromising;5,64;0,084027778;0,75;01.42
connected;6,53;0,061805556;1,67;01.02
connections;6,26;01.23;1,41;0,066666667
conscientious;0,25;01.15;1,69;01.08
considerate;6,33;0,056944444;2,04;01.04
consideration;5,98;01.03;1,68;0,068055556
cooperation;6,63;0,046527778;1,96;0,063194444
cooperative;6,61;0,05625;1,90;0,05625
dependable;5,88;01.25;2,06;01.16
dependency;5,67;01.31;-0,46;01.49
dependent;5,6;01.50;-0,26;01.55
duty;5,41;0,084027778;1,21;01.18
easygoing;5,53;01.49;1,69;01.17
enthusiastic;5,35;01.54;1,98;0,059722222
equality;6,22;01.14;1,92;01.37
fair;5,59;01.31;1,88;01.00
fair-minded;5,54;0,084027778;1,50;01.37
faithful;5,92;01.34;1,71;01.07
family-oriented;6,26;01.17;1,73;01.12
flexible;5,6;01.57;1,63;0,065972222
forgiveness;5,88;01.30;1,78;0,068055556
forgiving;5,84;01.16;1,75;0,061805556
friendliness;6,16;01.28;1,90;01.02
friendly;6,27;01.14;2,20;0,058333333
generous;6,14;01.38;2,04;01.01
gentle;5,6;01.33;1,50;0,067361111
good;5,51;01.49;2,31;0,061111111
good-natured;5,86;01.39;2,12;0,054166667
goodhearted;5,96;01.40;2,23;0,061111111
gracious;5,6;01.27;2,02;0,061805556
harmony;6,40;01.08;2,02;0,063194444
helpful;6,12;0,059722222;2,06;0,055555556
honest;5,51;01.39;2,10;0,0625
honesty;5,65;01.54;2,15;0,057638889
hospitable;5,94;01.44;1,65;01.09
humble;5,47;01.20;1,88;01.02
humility;5,31;01.59;1,61;01.35
influence;5,18;0,086805556;1,04;01.24
interdependent;6,10;01.42;0,61;01.17
interpersonal;6,27;01.28;1,21;01.29
just;5,53;01.52;2,15;0,060416667
kind;5,98;01.41;2,13;0,066666667
love;6,15;01.24;2,45;0,060416667
loyal;6,00;01.38;2,10;0,059722222
loyalty;5,96;01.55;1,96;0,065972222
moral;5,63;01.42;1,83;01.17
nice;5,72;01.39;1,86;0,068055556
nurturance;5,67;01.37;1,40;01.01
nurturing;6,21;01.20;1,77;0,068055556
obliging;5,28;01.46;0,09;01.28
open-minded;5,40;01.58;1,96;0,060416667
optimistic;5,21;0,092361111;2,08;0,065277778
patient;5,53;01.40;1,75;0,059722222
pleasant;5,66;01.32;1,92;0,066666667
polite;5,77;01.34;1,79;01.16
politeness;5,71;01.30;1,74;01.07
popular;5,63;01.30;1,16;01.26
reasonable;5,38;01.48;1,91;0,059722222
reliable;5,72;01.37;2,20;0,063194444
respectful;5,73;01.45;2,14;01.17
self-sacrificing;6,08;01.27;0,59;0,088194444
selfless;6,02;01.27;1,65;01.38
sensitivity;5,38;01.53;0,74;01.39
sincere;5,61;01.41;1,96;01.21
sociable;6,17;01.00;1,59;0,063194444
social;6,27;01.13;1,42;01.11
supportive;6,41;01.08;2,17;0,057638889
sympathetic;6,00;01.44;1,73;01.03
talkative;5,13;0,084722222;0,14;0,065277778
team-player;6,69;0,045138889;1,94;01.01
thoughtful;5,76;01.44;2,10;01.04
tolerant;5,76;01.30;1,63;01.04
trust;6,32;0,059722222;2,27;0,054861111
trusting;6,06;0,068055556;1,48;01.13
trustworthy;5,77;01.45;2,29;01.09
truthful;5,58;01.40;1,87;01.23
understanding;6,13;01.13;1,98;0,061805556
universalism;5,30;0,093055556;1,88;01.21
warm;6,02;01.33;2,04;0,065277778
warmth;6,04;01.15;1,92;0,060416667
welcoming;6,32;01.19;1,76;0,059722222
well-mannered;5,71;01.44;2,1;01.18
wise;05.02;0,090277778;02.10;0,066666667
