Word,Agency Mean,Agency SD,Valence Mean ,Valence SD
achievement,6.11,1.24,1.87,0.043
active,5.65,1.33,1.75,0.067
adamant,5.76,1.38,0.29,0.062
aggressive,5.27,0.093,-1.17,0.073
ambition,6.31,1.06,1.38,0.059
ambitious,6.36,0.054,1.56,0.044
analytical,5.88,1.04,1.59,0.053
assert,5.98,1.28,0.7,0.058
assertive,6.04,1.35,0.9,0.067
assertiveness,6.06,1.31,0.78,0.071
assured,5.45,1.51,1.46,0.045
autonomous,6.23,1.29,0.96,0.065
autonomy,6.47,1,1.16,0.054
bold,5.9,1.36,1.35,0.053
bossy,5.35,0.104,-1.52,0.065
brave,5.98,1.18,2.18,0.048
brilliant,5.75,1.31,2.39,0.056
capability,5.94,1.31,1.92,0.049
capable,6,1.3,2.13,0.061111111
clever,5.73,1.47,1.81,1.12
command,5.9,1.32,0.45,1.31
competence,5.73,1.33,1.88,1.03
competent,5.82,1.36,2.06,0.067
competitive,6.12,1.39,0.1,1.28
competitiveness,6.18,1.36,0.13,1.44
confidence,6.06,1.28,1.98,1.03
confident,6.25,1.19,2.04,0.068
convincing,5.42,1.49,1.12,1.07
creative,5.63,1.42,2.08,1.01
cunning,5.24,0.095,-0.78,1.5
daring,5.67,1.48,0.86,1.14
decisive,6,1.21,10.33,1.03
determined,6.06,1.34,1.96,0.064
diligent,6.04,0.063,2.02,1.06
direct,5.79,1.44,1.06,1.23
dominant,5.81,1.55,-0.31,1.29
dynamic,5.56,1.17,1.67,0.064
educated,5.29,1.58,2.1,0.062
effective,5.79,1.4,2,0.063
efficient,5.92,1.26,1.98,0.062
egocentric,5.44,0.093,-1.65,1.33
energetic,5.44,1.5,1.73,1.09
exploration,5.84,1.2,1.47,1.19
fast,5.22,0.096,1,1.08
freedom,6.38,0.059,1.88,1.12
hardworking,5.96,1.41,2.3,0.056
imaginative,5.46,1.24,1.73,1.12
independence,6.54,1.03,1.63,1.18
independent,6.72,0.045,0.10625,0.064
individual,6.49,1.29,0.92,1.24
individualistic,6.42,1.2,0.58,1.23
industrious,5.73,1.22,1.38,1.41
ingenious,5.21,1.49,1.53,1.33
insightful,5.6,1.22,2,0.066
intellectual,5.53,1.37,1.9,1.15
intelligent,5.81,1.48,2,1.24
knowledgeable,5.69,1.17,2.08,1
leader,6.32,0.066,1.94,1.08
logical,5.59,1.51,1.86,1.05
meticulous,5.42,1.51,1.39,1.2
organised,5.75,1.28,2.04,0.061
original,5.83,1.26,1.45,1.19
outspoken,5.46,1.47,0.74,1.17
perceptive,5.27,1.59,1.86,1.1
persistent,5.98,1.05,1.34,1.04
power,5.98,1.13,0.66,1.39
powerful,5.9,1.28,1.1,1.28
practical,5.5,1.44,1.58,1.03
proud,5.4,0.084,0.85,1.29
rational,5.6,1.22,1.81,0.068
realist,5.52,0.083,0.98,1.02
recognition,5.5,1.41,0.96,1.14
resilient,5.72,1.39,1.91,1.04
resourceful,0,1.21,1.92,0.064
serious,5.51,1.25,0.68,1.18
sharp,13.26,1.41,1.51,1.18
smart,5.67,1.3,2.1,1.17
status,5.24,1.39,0.27,1.35
strong,5.98,1.42,2.17,0.063
superiority,5.35,0.09,-0.96,1.4
tough,5.33,1.42,0.62,1.44
unique,5.68,1.32,1.59,1.06
unwavering,5.41,1.33,0.8,1.28
vigorous,5.39,0.092,0.91,1.23
