feature,weight,source
homicide,7.714285714,Violence
scourge,5,Violence
unresolved,5,Violence
devastate,8.8,Violence
frustrate,7.083333333,Violence
intolerant,5.333333333,Violence
irritate,5.545454545,Violence
uncontrolled,7.863636364,Violence
uncorrected,6.777777778,Violence
witness,5.727272727,Violence
mele,8,Violence
dehumanise,5.888888889,Violence
nihilist,5.571428571,Violence
thievery,6.222222222,Violence
dissonance,5.5,Violence
victimize,5.555555556,Violence
puncher,9,Violence
terrorize,9.3,Violence
brutish,9,Violence
wipeout,5.428571429,Violence
behavior,7.2,Violence
bloodthirsty,9,Violence
destruct,8.708333333,Violence
wrongdoer,7.428571429,Violence
bestiality,6.75,Violence
detest,7,Violence
gunmen,9.125,Violence
abduct,8.25,Violence
abuse,9.444444444,Violence
accomplice,5.777777778,Violence
adversary,7.545454545,Violence
affect,6.363636364,Violence
affray,6.142857143,Violence
afraid,8.555555556,Violence
aggravate,8.125,Violence
aggressive,8.5,Violence
aggressor,9.315789474,Violence
agitate,8,Violence
allege,5.875,Violence
altercation,8.681818182,Violence
ambush,8.25,Violence
ammunition,9.142857143,Violence
anger,9.375,Violence
angry,8.909090909,Violence
anguish,5.9,Violence
animosity,6.888888889,Violence
annoy,5.8,Violence
anxiety,5.142857143,Violence
arm,6.48,Violence
army,7,Violence
arrest,8.571428571,Violence
arson,9,Violence
artillery,9,Violence
assailant,9.153846154,Violence
assault,9.5,Violence
atomic,5.833333333,Violence
attack,9.263157895,Violence
bad,8.263157895,Violence
bang,8.777777778,Violence
barbaric,8.7,Violence
battle,9.068965517,Violence
beast,6.888888889,Violence
beef,5,Violence
bite,7.333333333,Violence
bitter,7.857142857,Violence
blast,7,Violence
bleed,8.625,Violence
blood,9.333333333,Violence
bloodshed,10,Violence
bloody,8.818181818,Violence
bomb,9.433333333,Violence
bomber,9.454545455,Violence
brawl,9.368421053,Violence
bruise,9.5,Violence
brutal,9.722222222,Violence
brute,9.571428571,Violence
bullet,9.6,Violence
bully,8.8,Violence
burglary,7.125,Violence
burn,8.777777778,Violence
campaign,6,Violence
casualty,8.947368421,Violence
charge,7.125,Violence
collision,7.285714286,Violence
combat,9.15,Violence
command,5.307692308,Violence
complain,5.5,Violence
conflict,10,Violence
confront,8.111111111,Violence
consequence,6.090909091,Violence
convict,6.571428571,Violence
corrupt,6.636363636,Violence
crass,5.166666667,Violence
craze,6.714285714,Violence
crime,9.578947368,Violence
criminal,7.941176471,Violence
cruel,9.3,Violence
crusade,7.6,Violence
crush,5.111111111,Violence
cry,6.772727273,Violence
culprit,8.136363636,Violence
cult,6.818181818,Violence
cut,8.142857143,Violence
damage,7.111111111,Violence
danger,9.125,Violence
dead,8.727272727,Violence
death,8.75,Violence
decease,7.6,Violence
defeat,5.181818182,Violence
defend,6.125,Violence
demeaning,6.333333333,Violence
demise,6,Violence
demolish,8.055555556,Violence
demolition,7,Violence
denigrate,5,Violence
deploy,6.1,Violence
deprive,6,Violence
despair,5.25,Violence
destroy,8.125,Violence
detention,5.454545455,Violence
detriment,7.75,Violence
die,7.315789474,Violence
differ,5.111111111,Violence
difficult,5,Violence
disagree,6.125,Violence
discontent,5.625,Violence
disgrace,5.636363636,Violence
disgust,8.454545455,Violence
disillusioned,6.222222222,Violence
displeasure,8,Violence
dispute,7.608695652,Violence
dissatisfaction,6.166666667,Violence
distress,8.555555556,Violence
domestic,5.75,Violence
dread,6,Violence
elicit,5,Violence
encounter,6.454545455,Violence
endanger,8.375,Violence
enemy,8.3,Violence
escalate,8.157894737,Violence
evasive,5.555555556,Violence
execute,9,Violence
explode,8.6,Violence
explosive,8.818181818,Violence
extreme,6.272727273,Violence
fatal,8.473684211,Violence
fear,8.210526316,Violence
felon,8.882352941,Violence
felony,8.375,Violence
fierce,9,Violence
fight,9.75862069,Violence
fire,5.294117647,Violence
foe,7.272727273,Violence
force,8.76,Violence
fought,7.5,Violence
fright,7.285714286,Violence
fury,9.363636364,Violence
gang,9.111111111,Violence
gash,6.888888889,Violence
gore,9.666666667,Violence
grab,8.7,Violence
grave,6.909090909,Violence
grenade,9,Violence
grief,6.272727273,Violence
grievous,8.285714286,Violence
guard,6.666666667,Violence
gun,9,Violence
gunman,8.25,Violence
gunshot,8.428571429,Violence
hack,5.125,Violence
hamstring,5.375,Violence
harass,7.56,Violence
harm,9.138888889,Violence
harsh,9.125,Violence
hassle,7.625,Violence
hate,9.090909091,Violence
hatred,9.555555556,Violence
hit,8.884615385,Violence
horrific,9.142857143,Violence
hostile,9.111111111,Violence
human,5.285714286,Violence
hurt,9.461538462,Violence
hysterical,7,Violence
imperialist,5.555555556,Violence
imprison,7.375,Violence
impulse,5.777777778,Violence
incident,7.782608696,Violence
incite,6.666666667,Violence
increase,6.052631579,Violence
inexplicable,6,Violence
inflame,7.555555556,Violence
inflict,7.875,Violence
injure,9.315789474,Violence
injury,9.65,Violence
inmate,7.2,Violence
intend,5.857142857,Violence
intent,7.444444444,Violence
intimidate,9.181818182,Violence
invasive,6.4,Violence
investigate,7.125,Violence
irate,7.428571429,Violence
ire,6.333333333,Violence
issue,6.875,Violence
jab,7.2,Violence
jail,8.125,Violence
jealousy,7.875,Violence
jihad,5.142857143,Violence
kick,8.742857143,Violence
kidnap,8,Violence
kill,9.151515152,Violence
knife,8.916666667,Violence
law,8.333333333,Violence
loot,7.666666667,Violence
lose,5,Violence
loss,6.529411765,Violence
machete,7.2,Violence
mad,7.090909091,Violence
maim,8.1,Violence
mangle,6.222222222,Violence
mayhem,8.666666667,Violence
mean,5.25,Violence
meaningless,6.2,Violence
menace,9.857142857,Violence
military,9.125,Violence
mindless,7.461538462,Violence
missile,8.238095238,Violence
mistrust,6.625,Violence
molest,8.1,Violence
munition,6.833333333,Violence
murder,9.382978723,Violence
mutilate,9.333333333,Violence
nuclear,6.888888889,Violence
obliterate,8.555555556,Violence
offence,8,Violence
offend,9,Violence
onslaught,8.454545455,Violence
oppose,5.272727273,Violence
opposite,5.909090909,Violence
oppress,8.428571429,Violence
oppressor,8.4,Violence
outburst,9.875,Violence
outrage,8,Violence
pain,8.931034483,Violence
passion,5.083333333,Violence
peril,7.666666667,Violence
perpetrate,7.105263158,Violence
person,5.285714286,Violence
pointless,5.125,Violence
poison,6.7,Violence
police,8.428571429,Violence
power,7.888888889,Violence
prejudice,5.4,Violence
pressure,5.1,Violence
prey,8.7,Violence
prison,8.833333333,Violence
protest,6.75,Violence
provoke,8,Violence
punch,9.485714286,Violence
puncture,6,Violence
push,7.888888889,Violence
racism,8.25,Violence
racist,8,Violence
radical,7.818181818,Violence
rage,10,Violence
raid,6.625,Violence
ram,5.25,Violence
rampage,9.222222222,Violence
rape,8.777777778,Violence
rapist,9.333333333,Violence
raze,6.782608696,Violence
rebel,6.111111111,Violence
red,5.222222222,Violence
resent,6,Violence
riot,8.789473684,Violence
rip,5.888888889,Violence
risk,7.5,Violence
robbery,9.5,Violence
roughshod,7,Violence
round,5.375,Violence
ruin,7,Violence
ruthless,8.666666667,Violence
savage,8.444444444,Violence
scene,6.1,Violence
scrape,5.142857143,Violence
scream,8.928571429,Violence
screech,5.375,Violence
scuffle,7.761904762,Violence
senseless,8.142857143,Violence
sentence,5.35,Violence
serious,6.842105263,Violence
severed,7.1,Violence
sexual,5.142857143,Violence
shameless,6.625,Violence
shoot,9.71875,Violence
shot,9.222222222,Violence
shout,8.444444444,Violence
showdown,7.571428571,Violence
shrapnel,8,Violence
shriek,7.85,Violence
sicken,9.25,Violence
slash,8.117647059,Violence
slay,8.555555556,Violence
slice,7.2,Violence
smash,9,Violence
snap,7.272727273,Violence
snipe,7.888888889,Violence
soldier,7.75,Violence
spite,7.727272727,Violence
spree,5.444444444,Violence
stab,9.28,Violence
strength,5.75,Violence
stress,7.909090909,Violence
strike,8.523809524,Violence
struck,9.25,Violence
struggle,6.6,Violence
suffer,8.647058824,Violence
suicide,7.875,Violence
suspect,6.928571429,Violence
swing,5.125,Violence
target,7.742857143,Violence
tear,7.235294118,Violence
tense,7.555555556,Violence
