feature,Class,Average of Value,Year
,0,-0.10456479036742276,2010
,0,-0.04354063202353083,2011
,0,-0.09254899160826907,2012
,0,-0.06712421555729474,2013
,0,-0.12893429683411825,2014
,0,0.04773159138858318,2015
,0,0.07435235238688837,2016
,0,0.13161433833267758,2017
,0,0.07989615947008133,2018
,0,0.010134093737339278,2019
,0,-0.044288103468716145,2020
,0,-0.01709610842825732,2021
,0,-0.18865773815880804,2022
,1,0.10473733844564241,2010
,1,0.03444915768854758,2011
,1,0.08881434327101007,2012
,1,0.08519275749430937,2013
,1,0.12592172556940245,2014
,1,-0.04044590101522555,2015
,1,-0.07875558692852366,2016
,1,-0.15662169757792177,2017
,1,-0.07150269028566339,2018
,1,-0.005634286879178367,2019
,1,0.026218464105006528,2020
,1,0.040780427975251395,2021
,1,0.16648530992953217,2022
abduct,0,-0.4676423072814941,2010
abduct,0,-0.4162056744098663,2011
abduct,0,-0.2933350503444672,2012
abduct,0,-0.7957302331924438,2013
abduct,0,-0.4963098466396332,2014
abduct,0,-0.435364156961441,2015
abduct,0,-0.03687717393040657,2016
abduct,0,-0.01359082758426666,2017
abduct,0,-0.2977693974971771,2018
abduct,0,-0.3082066178321838,2019
abduct,0,0.1200397908687592,2020
abduct,0,-0.4563434422016144,2021
abduct,0,-0.599757194519043,2022
abduct,1,0.3300063908100128,2010
abduct,1,0.5575311779975891,2011
abduct,1,0.316894918680191,2012
abduct,1,0.878671407699585,2013
abduct,1,0.6017429828643799,2014
abduct,1,0.4932083785533905,2015
abduct,1,0.01056011859327555,2016
abduct,1,0.03876959159970284,2017
abduct,1,0.02637765184044838,2018
abduct,1,0.4002113938331604,2019
abduct,1,-0.06716381013393402,2020
abduct,1,0.376183807849884,2021
abduct,1,0.5085911750793457,2022
abuse,0,0.4025380611419678,2010
abuse,0,-0.04680412262678146,2011
abuse,0,0.1917116641998291,2012
abuse,0,-0.226225733757019,2013
abuse,0,-0.2624970972537994,2014
abuse,0,-0.03198757395148277,2015
abuse,0,-0.05526936426758766,2016
abuse,0,0.01388937328010798,2017
abuse,0,0.03712598234415054,2018
abuse,0,0.02930095046758652,2019
abuse,0,-0.2039408832788467,2020
abuse,0,-0.2441171854734421,2021
abuse,0,-0.3455515205860138,2022
abuse,1,-0.3130114674568176,2010
abuse,1,0.1493083834648132,2011
abuse,1,-0.1896276324987411,2012
abuse,1,0.1728491187095642,2013
abuse,1,0.3501347303390503,2014
abuse,1,0.02476400323212147,2015
abuse,1,0.06760049611330032,2016
abuse,1,-0.08294745534658432,2017
abuse,1,0.02910434268414974,2018
abuse,1,-0.03441988304257393,2019
abuse,1,0.1227410137653351,2020
abuse,1,0.1668097078800201,2021
abuse,1,0.2893909811973572,2022
accepting,0,0.7068375945091248,2010
accepting,0,-0.7313353419303894,2011
accepting,0,0.5813599228858948,2012
accepting,0,-0.7871545553207397,2013
accepting,0,-0.76274573802948,2014
accepting,0,-1.267632007598877,2015
accepting,0,0.2157611101865768,2016
accepting,0,0.4524321556091309,2017
accepting,0,0.0213537123054266,2018
accepting,0,0.4691817760467529,2019
accepting,0,-1.760567665100098,2020
accepting,0,-0.4579544961452484,2021
accepting,0,0.3702219426631927,2022
accepting,1,-0.5394207835197449,2010
accepting,1,0.7359220385551453,2011
accepting,1,-0.6135737299919128,2012
accepting,1,1.024067044258118,2013
accepting,1,0.710780918598175,2014
accepting,1,1.700003266334534,2015
accepting,1,-0.3368662595748901,2016
accepting,1,-0.3949487209320068,2017
accepting,1,-0.2210269421339035,2018
accepting,1,-0.5920367240905762,2019
accepting,1,2.114764213562012,2020
accepting,1,0.3638530075550079,2021
accepting,1,-0.321196585893631,2022
accompany,0,0.08349259197711945,2010
accompany,0,-0.1127297133207321,2011
accompany,0,-0.2061722427606583,2012
accompany,0,-0.2507493793964386,2013
accompany,0,0.1360371261835098,2014
accompany,0,-0.245681032538414,2015
accompany,0,-0.1553541123867035,2016
accompany,0,-0.04279113933444023,2017
accompany,0,-0.03989668190479279,2018
accompany,0,0.01550406031310558,2019
accompany,0,0.291043609380722,2020
accompany,0,-0.1331381648778915,2021
accompany,0,0.02242613211274147,2022
accompany,1,-0.009008626453578472,2010
accompany,1,0.03589167073369026,2011
accompany,1,0.2095969021320343,2012
accompany,1,0.2219172418117523,2013
accompany,1,-0.1994442939758301,2014
accompany,1,0.3362910747528076,2015
accompany,1,0.1634196490049362,2016
accompany,1,-0.005312042776495218,2017
accompany,1,0.08487530052661896,2018
accompany,1,-0.03471053764224052,2019
accompany,1,-0.1853121370077133,2020
accompany,1,0.1463099122047424,2021
accompany,1,-0.0004318417049944401,2022
accomplice,0,0.5057215690612793,2010
accomplice,0,0.2742234170436859,2011
accomplice,0,0.2130440324544907,2012
accomplice,0,0.731407642364502,2013
accomplice,0,-0.07515786588191986,2014
accomplice,0,1.817646026611328,2015
accomplice,0,0.7692906260490417,2016
accomplice,0,0.5558668375015259,2017
accomplice,0,0.552803635597229,2018
accomplice,0,0.8749730587005615,2019
accomplice,0,0.9864819049835205,2020
accomplice,0,0.8303038477897644,2021
accomplice,0,1.063775062561035,2022
accomplice,1,-0.2033653557300568,2010
accomplice,1,-0.6121376752853394,2011
accomplice,1,-0.1914885342121124,2012
accomplice,1,-0.6234415769577026,2013
accomplice,1,-0.01706729829311371,2014
accomplice,1,-1.92350447177887,2015
accomplice,1,-0.8989953398704529,2016
