,feature,2010_c,2011_c,2012_c,2013_c,2015_c,2016_c,2017_c,2018_c,2019_c,2020_c,2021_c,2022_c,agency_classifier,Communality Mean ,Communality SD,Agency Mean,Agency SD
0,headscarf,25.885677501984812,14.80146896155606,0.9505934939446882,0.9155443799878991,7.007240780064383,10.910023881410698,,5.847267221651519,8.144760288282797,8.142635428017497,4.870180129905541,4.475117085722109,,,,,
1,breastfeed,25.459015098047345,,0.9443652554369937,0.8287709440863033,5.69789421450728,,7.56768096789093,9.363705585705011,6.558146395608301,,,3.046317520870193,,,,,
2,hui,18.183665196554408,,,,,,,,,,,,,,,,
3,knox,16.056723056620438,,,,,,,,,,,,,,,,
4,topless,15.630042718710909,,,,,,,,,,,,,,,,
5,nld,15.55521123714643,,,,,,,,,,,,,,,,
6,harrier,15.398018430326696,11.902845494332999,,,7.743049378956519,18.49281598874607,12.833686885860613,10.866663330530216,7.878264088529607,7.003194282771733,7.510860859632371,2.766224321031663,,,,,
7,childbirth,15.365830221915845,,,,,,6.261422234628458,,6.832538668065994,,,,,,,,
8,crimes,15.24033963179499,,,,,,,,,,,,,,,,
9,nehwal,14.88119689631186,,,,,,,,,,,,,,,,
10,reviva,14.812661119178093,,,,,,,,,,,,,,,,
11,displaced,14.787541370169215,,,,,,,,,,,,,,,,
12,isabella,14.677890811190613,,,,,,,,,,,,,,,,
13,pageant,14.469934585203067,,,,,,,,,,,1.8661958475601177,,,,,
14,resourcing,14.331992889834057,,,,,,,,,,,,,,,,
15,breastfeeding,14.263804287872299,,,,,,,,,5.6618517936372275,,,,,,,
16,norgrove,14.006755943003038,,,,,,,,,,,,,,,,
17,nadine,13.922871832684448,,,,4.240868055686002,,,,,,,,,,,,
18,wolstencroft,13.895771773306548,,,,,,,,,,,,,,,,
19,convent,13.760623434129883,,,,4.260766366773452,,,,5.896417671101762,,,,,,,,
20,topping,13.105953000749144,,,,,,,,,,,,,,,,
21,helen,12.971287559652003,,,,,,,,,,,,,,,,
22,raytheon,12.914377688595188,,,,,,,,,,,,,,,,
23,widdecombe,12.898433500054443,,,,,,,,6.645369287097658,,,,,,,,
