,feature,coef,2010_c,2011_c,2012_c,2013_c,2015_c,2016_c,2017_c,2018_c,coef_type_x,2019_c,coef_type_y,2020_c,coef_type_x,2021_c,coef_type_y,2022_c,coef_type
0,jade,13.845369530277786,,,,,,,,,,,,,,,,,
1,boyfriend,12.797717526153498,9.864650557707494,,2.722135932033165,2.970981055449735,5.542120887832015,,,6.636498842501601,highest,6.335545745376952,highest,5.64001783747081,highest,5.286001645105519,highest,4.81889822857084,highest
2,creative,12.640788456367194,,,,,,,,,,,,,,,,,
3,mime,12.602833338657884,,,,,,,,,,,,,,,,,
4,french,12.060646842961813,,,,,,,,,,,,,,,,,
5,cv,11.872815216842413,,,,,,,,,,,,,,,,,
6,something,11.790319085274458,,,,,,,,,,,,,,,,,
7,dance,11.7204944568731,,,0.8752297283356486,0.7420701329840451,,,,,,,,,,,,2.177326600046456,highest
8,gerry,11.663127814933699,,,,,,,,,,,,,,,,,
9,florence,11.650093359618298,,,,,4.191853704261725,,,,,,,,,,,,
10,pregnant,11.482941319784771,11.781121660927283,11.868634424729024,3.6935137632089208,3.947210525002684,8.814293508988028,9.969195631472903,7.663411374124089,7.56017879375889,highest,8.166763372450763,highest,9.50690012627437,highest,9.731770072125082,highest,6.744265029913501,highest
11,alpha,11.422266953621287,,,,,,,,,,,,,,,,,
12,contact,11.244809411437007,,,,0.7201329671698082,,,,,,,,,,,,,
13,emotional,11.20153822904125,,,0.8203587663945552,,,,,,,,,,,,,,
14,tan,11.085822091629138,,,,,,,,,,,,,,,,,
15,keisha,10.987788250619749,,,,,,,,,,,,,,,,,
16,detroit,10.638006666306879,,,,,,,,,,,,,,,,,
17,relate,10.559670414780237,,,,,,,,,,,,,,,,,
18,beyonce,10.472297071229546,,,,0.9866516633180297,,,,,,,,,,,,,
19,heidi,10.43939327262867,,,,,,,,,,,,,,,,,
20,incredible,10.408103849423169,,,,,,,,,,,,,,,,,
21,amelle,10.344854991648404,,,,,,,,,,,,,,,,,
22,flood,10.273599528627335,,,,,,,,,,,,,,,,,
23,bleak,10.049277267846342,,,,,,,,,,,,,,,,,
24,barely,9.994977544384813,,,,,,,,,,,,,,,,,
25,wrap,9.935014340325019,,,,,,,,,,,,,,,,,
26,torture,9.85842380573247,,,,,,,,,,,,,,,,,
27,interact,9.84264949589638,,,,,,,,,,,,,,,,,
28,protect,9.834846217661282,,,,,,,,,,,,,,,,,
29,batter,9.54629271463941,,,,,,,,,,,,,,,,,
30,reveals,9.503745232270067,,,,,,,,,,,,,,,,,
31,arrive,9.374948210220138,,,,,,,,,,,,,,,,,
32,hopefully,9.335291593491833,,,,,,,,,,,,,,,,,
33,hear,9.29319209519187,,,,,,,,,,,,,,,,,
34,whatsoever,9.218812276875681,,,,,,,,,,,,,,,,,
35,horrific,9.217861317116219,,,,,,,,,,,,,,,,,
36,laxative,9.18107975589767,,,,,,,,,,,,,,,,,
37,fair,9.13880076161681,,,,,,,,,,,,,,,,,
38,awful,9.047437944461526,,,,,,,,,,,,,,,,,
39,spy,8.956983907355855,,,,,,,,,,,,,,,,,
40,jessica,8.886887182297798,,,,,4.430779882600769,,,,,,,,,,,1.9476554863335116,highest
41,costume,8.825151136293035,,,,,,,,,,,,,,,,,
42,box,8.804985475671446,,,,,,,,,,,,,,,,,
43,bright,8.78477438777354,,,,,,,,,,,,,,,,,
44,amongst,8.753968356487853,,,,,,,,,,,,,,,,,
45,hype,8.704612442029857,,,,,,,,,,,,,,,,,
46,villain,8.668515130192976,,,,,,,,,,,,,,,,,
47,nerve,8.660902766751269,,,,,,,,,,,,,,,,,
48,associate,8.637490957221178,,,,,,,,,,,,,,,,,
